2023-04-30 16:43:31,355 - INFO - Loaded Data/Office/train.csv with 3508 users and 2318 items.
2023-04-30 16:43:31,355 - INFO - Matrix size: (3509, 2319), total ratings: 31193
2023-04-30 16:43:31,805 - INFO - Loaded Data/Office/test.csv with 3508 users and 2334 items.
2023-04-30 16:43:31,805 - INFO - Matrix size: (3509, 2335), total ratings: 13396
2023-04-30 16:43:32,552 - INFO - Loaded dataset with 3509 users and 2319 items.
2023-04-30 16:43:32,552 - INFO - Training set contains 31193 ratings and test set contains 13396 ratings.
2023-04-30 16:43:34,730 - INFO - Epoch 1, Loss: 693.90078
2023-04-30 16:43:35,581 - INFO - Epoch 2, Loss: 693.09122
2023-04-30 16:43:36,430 - INFO - Epoch 3, Loss: 692.52859
2023-04-30 16:43:37,279 - INFO - Epoch 4, Loss: 692.06477
2023-04-30 16:43:38,127 - INFO - Epoch 5, Loss: 691.76988
2023-04-30 16:43:38,976 - INFO - Epoch 6, Loss: 691.48318
2023-04-30 16:43:39,821 - INFO - Epoch 7, Loss: 691.17893
2023-04-30 16:43:40,670 - INFO - Epoch 8, Loss: 690.98528
2023-04-30 16:43:41,519 - INFO - Epoch 9, Loss: 690.77736
2023-04-30 16:43:42,364 - INFO - Epoch 10, Loss: 690.59934
2023-04-30 16:43:43,218 - INFO - Epoch 11, Loss: 690.40695
2023-04-30 16:43:44,075 - INFO - Epoch 12, Loss: 690.17627
2023-04-30 16:43:44,925 - INFO - Epoch 13, Loss: 689.97812
2023-04-30 16:43:45,778 - INFO - Epoch 14, Loss: 689.81265
2023-04-30 16:43:46,634 - INFO - Epoch 15, Loss: 689.61685
2023-04-30 16:43:47,481 - INFO - Epoch 16, Loss: 689.44030
2023-04-30 16:43:48,326 - INFO - Epoch 17, Loss: 689.27919
2023-04-30 16:43:49,177 - INFO - Epoch 18, Loss: 689.10861
2023-04-30 16:43:50,024 - INFO - Epoch 19, Loss: 688.93839
2023-04-30 16:43:50,867 - INFO - Epoch 20, Loss: 688.75397
2023-04-30 16:43:51,715 - INFO - Epoch 21, Loss: 688.58365
2023-04-30 16:43:52,560 - INFO - Epoch 22, Loss: 688.43090
2023-04-30 16:43:53,402 - INFO - Epoch 23, Loss: 688.22758
2023-04-30 16:43:54,249 - INFO - Epoch 24, Loss: 688.08049
2023-04-30 16:43:55,120 - INFO - Epoch 25, Loss: 687.92613
2023-04-30 16:43:55,988 - INFO - Epoch 26, Loss: 687.74949
2023-04-30 16:43:56,972 - INFO - Epoch 27, Loss: 687.63791
2023-04-30 16:43:57,823 - INFO - Epoch 28, Loss: 687.41664
2023-04-30 16:43:58,701 - INFO - Epoch 29, Loss: 687.30239
2023-04-30 16:43:59,590 - INFO - Epoch 30, Loss: 687.12399
2023-04-30 16:44:00,448 - INFO - Epoch 31, Loss: 686.94573
2023-04-30 16:44:01,300 - INFO - Epoch 32, Loss: 686.80124
2023-04-30 16:44:02,160 - INFO - Epoch 33, Loss: 686.63059
2023-04-30 16:44:03,059 - INFO - Epoch 34, Loss: 686.49395
2023-04-30 16:44:03,920 - INFO - Epoch 35, Loss: 686.34274
2023-04-30 16:44:04,825 - INFO - Epoch 36, Loss: 686.16288
2023-04-30 16:44:05,710 - INFO - Epoch 37, Loss: 686.02252
2023-04-30 16:44:06,568 - INFO - Epoch 38, Loss: 685.90937
2023-04-30 16:44:07,466 - INFO - Epoch 39, Loss: 685.70958
2023-04-30 16:44:08,339 - INFO - Epoch 40, Loss: 685.59039
2023-04-30 16:44:09,188 - INFO - Epoch 41, Loss: 685.42753
2023-04-30 16:44:10,057 - INFO - Epoch 42, Loss: 685.23217
2023-04-30 16:44:10,950 - INFO - Epoch 43, Loss: 685.04371
2023-04-30 16:44:11,835 - INFO - Epoch 44, Loss: 684.92124
2023-04-30 16:44:12,749 - INFO - Epoch 45, Loss: 684.76274
2023-04-30 16:44:13,641 - INFO - Epoch 46, Loss: 684.58661
2023-04-30 16:44:14,517 - INFO - Epoch 47, Loss: 684.43759
2023-04-30 16:44:15,376 - INFO - Epoch 48, Loss: 684.32316
2023-04-30 16:44:16,227 - INFO - Epoch 49, Loss: 684.14162
2023-04-30 16:44:17,102 - INFO - Epoch 50, Loss: 683.95885
2023-04-30 16:44:17,949 - INFO - Epoch 51, Loss: 683.78777
2023-04-30 16:44:18,802 - INFO - Epoch 52, Loss: 683.62884
2023-04-30 16:44:19,697 - INFO - Epoch 53, Loss: 683.49504
2023-04-30 16:44:20,543 - INFO - Epoch 54, Loss: 683.33185
2023-04-30 16:44:21,389 - INFO - Epoch 55, Loss: 683.14021
2023-04-30 16:44:22,234 - INFO - Epoch 56, Loss: 682.96634
2023-04-30 16:44:23,093 - INFO - Epoch 57, Loss: 682.82123
2023-04-30 16:44:23,989 - INFO - Epoch 58, Loss: 682.67859
2023-04-30 16:44:24,881 - INFO - Epoch 59, Loss: 682.50295
2023-04-30 16:44:25,728 - INFO - Epoch 60, Loss: 682.32874
2023-04-30 16:44:26,574 - INFO - Epoch 61, Loss: 682.07395
2023-04-30 16:44:27,420 - INFO - Epoch 62, Loss: 681.97109
2023-04-30 16:44:28,267 - INFO - Epoch 63, Loss: 681.78919
2023-04-30 16:44:29,113 - INFO - Epoch 64, Loss: 681.62292
2023-04-30 16:44:29,957 - INFO - Epoch 65, Loss: 681.44231
2023-04-30 16:44:30,828 - INFO - Epoch 66, Loss: 681.24168
2023-04-30 16:44:31,746 - INFO - Epoch 67, Loss: 681.09765
2023-04-30 16:44:32,648 - INFO - Epoch 68, Loss: 680.85346
2023-04-30 16:44:33,546 - INFO - Epoch 69, Loss: 680.68602
2023-04-30 16:44:34,440 - INFO - Epoch 70, Loss: 680.52757
2023-04-30 16:44:35,339 - INFO - Epoch 71, Loss: 680.37228
2023-04-30 16:44:36,250 - INFO - Epoch 72, Loss: 680.13656
2023-04-30 16:44:37,180 - INFO - Epoch 73, Loss: 679.88300
2023-04-30 16:44:38,101 - INFO - Epoch 74, Loss: 679.78768
2023-04-30 16:44:38,965 - INFO - Epoch 75, Loss: 679.53366
2023-04-30 16:44:39,808 - INFO - Epoch 76, Loss: 679.35962
2023-04-30 16:44:40,651 - INFO - Epoch 77, Loss: 679.13519
2023-04-30 16:44:41,495 - INFO - Epoch 78, Loss: 678.87516
2023-04-30 16:44:42,339 - INFO - Epoch 79, Loss: 678.76560
2023-04-30 16:44:43,186 - INFO - Epoch 80, Loss: 678.61511
2023-04-30 16:44:44,047 - INFO - Epoch 81, Loss: 678.29685
2023-04-30 16:44:44,893 - INFO - Epoch 82, Loss: 678.12573
2023-04-30 16:44:45,814 - INFO - Epoch 83, Loss: 677.88735
2023-04-30 16:44:46,807 - INFO - Epoch 84, Loss: 677.66001
2023-04-30 16:44:47,697 - INFO - Epoch 85, Loss: 677.45454
2023-04-30 16:44:48,566 - INFO - Epoch 86, Loss: 677.21249
2023-04-30 16:44:49,436 - INFO - Epoch 87, Loss: 676.95581
2023-04-30 16:44:50,300 - INFO - Epoch 88, Loss: 676.79123
2023-04-30 16:44:51,151 - INFO - Epoch 89, Loss: 676.57812
2023-04-30 16:44:52,064 - INFO - Epoch 90, Loss: 676.28720
2023-04-30 16:44:52,915 - INFO - Epoch 91, Loss: 676.07139
2023-04-30 16:44:53,759 - INFO - Epoch 92, Loss: 675.85570
2023-04-30 16:44:54,600 - INFO - Epoch 93, Loss: 675.61786
2023-04-30 16:44:55,446 - INFO - Epoch 94, Loss: 675.31962
2023-04-30 16:44:56,289 - INFO - Epoch 95, Loss: 675.14099
2023-04-30 16:44:57,136 - INFO - Epoch 96, Loss: 674.96203
2023-04-30 16:44:57,977 - INFO - Epoch 97, Loss: 674.59956
2023-04-30 16:44:58,824 - INFO - Epoch 98, Loss: 674.37128
2023-04-30 16:44:59,665 - INFO - Epoch 99, Loss: 674.11425
2023-04-30 16:45:00,510 - INFO - Epoch 100, Loss: 673.83554
2023-04-30 16:45:03,374 - INFO - Epoch 100: [0.8s + 2.9s] Loss: 2.17366, Recall: 0.07786, Precision: 0.01704, Hit Ratio: 0.24686, NDCG: 0.10898
2023-04-30 16:45:04,327 - INFO - Epoch 101, Loss: 673.56848
2023-04-30 16:45:05,170 - INFO - Epoch 102, Loss: 673.25917
2023-04-30 16:45:06,012 - INFO - Epoch 103, Loss: 673.07392
2023-04-30 16:45:06,852 - INFO - Epoch 104, Loss: 672.68407
2023-04-30 16:45:07,694 - INFO - Epoch 105, Loss: 672.56551
2023-04-30 16:45:08,535 - INFO - Epoch 106, Loss: 672.25480
2023-04-30 16:45:09,375 - INFO - Epoch 107, Loss: 671.95948
2023-04-30 16:45:10,217 - INFO - Epoch 108, Loss: 671.59917
2023-04-30 16:45:11,061 - INFO - Epoch 109, Loss: 671.47911
2023-04-30 16:45:11,927 - INFO - Epoch 110, Loss: 671.15980
2023-04-30 16:45:12,772 - INFO - Epoch 111, Loss: 670.75954
2023-04-30 16:45:13,644 - INFO - Epoch 112, Loss: 670.54706
2023-04-30 16:45:14,498 - INFO - Epoch 113, Loss: 670.21498
2023-04-30 16:45:15,342 - INFO - Epoch 114, Loss: 669.86683
2023-04-30 16:45:16,195 - INFO - Epoch 115, Loss: 669.65086
2023-04-30 16:45:17,037 - INFO - Epoch 116, Loss: 669.45690
2023-04-30 16:45:17,880 - INFO - Epoch 117, Loss: 669.11026
2023-04-30 16:45:18,740 - INFO - Epoch 118, Loss: 668.82064
2023-04-30 16:45:19,583 - INFO - Epoch 119, Loss: 668.38068
2023-04-30 16:45:20,428 - INFO - Epoch 120, Loss: 668.07969
2023-04-30 16:45:21,272 - INFO - Epoch 121, Loss: 667.76488
2023-04-30 16:45:22,114 - INFO - Epoch 122, Loss: 667.44510
2023-04-30 16:45:22,957 - INFO - Epoch 123, Loss: 667.03867
2023-04-30 16:45:23,799 - INFO - Epoch 124, Loss: 666.75819
2023-04-30 16:45:24,641 - INFO - Epoch 125, Loss: 666.50424
2023-04-30 16:45:25,483 - INFO - Epoch 126, Loss: 666.15811
2023-04-30 16:45:26,325 - INFO - Epoch 127, Loss: 665.80114
2023-04-30 16:45:27,164 - INFO - Epoch 128, Loss: 665.47304
2023-04-30 16:45:28,005 - INFO - Epoch 129, Loss: 665.00181
2023-04-30 16:45:28,848 - INFO - Epoch 130, Loss: 664.74963
2023-04-30 16:45:29,688 - INFO - Epoch 131, Loss: 664.41692
2023-04-30 16:45:30,528 - INFO - Epoch 132, Loss: 664.08483
2023-04-30 16:45:31,373 - INFO - Epoch 133, Loss: 663.72339
2023-04-30 16:45:32,214 - INFO - Epoch 134, Loss: 663.32096
2023-04-30 16:45:33,054 - INFO - Epoch 135, Loss: 662.93222
2023-04-30 16:45:33,895 - INFO - Epoch 136, Loss: 662.63701
2023-04-30 16:45:34,737 - INFO - Epoch 137, Loss: 662.30666
2023-04-30 16:45:35,578 - INFO - Epoch 138, Loss: 661.95641
2023-04-30 16:45:36,419 - INFO - Epoch 139, Loss: 661.44547
2023-04-30 16:45:37,262 - INFO - Epoch 140, Loss: 661.07347
2023-04-30 16:45:38,104 - INFO - Epoch 141, Loss: 660.70374
2023-04-30 16:45:38,950 - INFO - Epoch 142, Loss: 660.41404
2023-04-30 16:45:39,792 - INFO - Epoch 143, Loss: 660.00400
2023-04-30 16:45:40,636 - INFO - Epoch 144, Loss: 659.55925
2023-04-30 16:45:41,482 - INFO - Epoch 145, Loss: 659.01316
2023-04-30 16:45:42,325 - INFO - Epoch 146, Loss: 658.99827
2023-04-30 16:45:43,169 - INFO - Epoch 147, Loss: 658.46726
2023-04-30 16:45:44,014 - INFO - Epoch 148, Loss: 658.17302
2023-04-30 16:45:44,857 - INFO - Epoch 149, Loss: 657.64185
2023-04-30 16:45:45,699 - INFO - Epoch 150, Loss: 657.25955
2023-04-30 16:45:46,544 - INFO - Epoch 151, Loss: 656.75336
2023-04-30 16:45:47,387 - INFO - Epoch 152, Loss: 656.43808
2023-04-30 16:45:48,229 - INFO - Epoch 153, Loss: 656.02296
2023-04-30 16:45:49,072 - INFO - Epoch 154, Loss: 655.60641
2023-04-30 16:45:49,916 - INFO - Epoch 155, Loss: 654.96942
2023-04-30 16:45:50,758 - INFO - Epoch 156, Loss: 654.78127
2023-04-30 16:45:51,601 - INFO - Epoch 157, Loss: 654.37986
2023-04-30 16:45:52,448 - INFO - Epoch 158, Loss: 653.63205
2023-04-30 16:45:53,290 - INFO - Epoch 159, Loss: 653.50565
2023-04-30 16:45:54,134 - INFO - Epoch 160, Loss: 653.06948
2023-04-30 16:45:54,978 - INFO - Epoch 161, Loss: 652.67951
2023-04-30 16:45:55,826 - INFO - Epoch 162, Loss: 652.02109
2023-04-30 16:45:56,672 - INFO - Epoch 163, Loss: 651.73447
2023-04-30 16:45:57,517 - INFO - Epoch 164, Loss: 651.32348
2023-04-30 16:45:58,361 - INFO - Epoch 165, Loss: 650.49968
2023-04-30 16:45:59,205 - INFO - Epoch 166, Loss: 650.52180
2023-04-30 16:46:00,050 - INFO - Epoch 167, Loss: 649.88873
2023-04-30 16:46:00,895 - INFO - Epoch 168, Loss: 649.45722
2023-04-30 16:46:01,737 - INFO - Epoch 169, Loss: 648.90107
2023-04-30 16:46:02,579 - INFO - Epoch 170, Loss: 648.16624
2023-04-30 16:46:03,424 - INFO - Epoch 171, Loss: 647.97756
2023-04-30 16:46:04,267 - INFO - Epoch 172, Loss: 647.43606
2023-04-30 16:46:05,110 - INFO - Epoch 173, Loss: 647.13465
2023-04-30 16:46:05,953 - INFO - Epoch 174, Loss: 646.55206
2023-04-30 16:46:06,797 - INFO - Epoch 175, Loss: 645.68918
2023-04-30 16:46:07,642 - INFO - Epoch 176, Loss: 645.34900
2023-04-30 16:46:08,489 - INFO - Epoch 177, Loss: 645.04789
2023-04-30 16:46:09,333 - INFO - Epoch 178, Loss: 644.57039
2023-04-30 16:46:10,176 - INFO - Epoch 179, Loss: 643.95297
2023-04-30 16:46:11,018 - INFO - Epoch 180, Loss: 643.78680
2023-04-30 16:46:11,861 - INFO - Epoch 181, Loss: 642.90995
2023-04-30 16:46:12,706 - INFO - Epoch 182, Loss: 642.37288
2023-04-30 16:46:13,551 - INFO - Epoch 183, Loss: 642.12850
2023-04-30 16:46:14,394 - INFO - Epoch 184, Loss: 641.59711
2023-04-30 16:46:15,237 - INFO - Epoch 185, Loss: 641.22166
2023-04-30 16:46:16,080 - INFO - Epoch 186, Loss: 640.36514
2023-04-30 16:46:16,924 - INFO - Epoch 187, Loss: 640.03052
2023-04-30 16:46:17,771 - INFO - Epoch 188, Loss: 639.42580
2023-04-30 16:46:18,617 - INFO - Epoch 189, Loss: 638.82351
2023-04-30 16:46:19,462 - INFO - Epoch 190, Loss: 638.57442
2023-04-30 16:46:20,307 - INFO - Epoch 191, Loss: 637.75789
2023-04-30 16:46:21,149 - INFO - Epoch 192, Loss: 637.49085
2023-04-30 16:46:21,995 - INFO - Epoch 193, Loss: 636.73165
2023-04-30 16:46:22,837 - INFO - Epoch 194, Loss: 635.89137
2023-04-30 16:46:23,681 - INFO - Epoch 195, Loss: 635.62416
2023-04-30 16:46:24,524 - INFO - Epoch 196, Loss: 635.04534
2023-04-30 16:46:25,368 - INFO - Epoch 197, Loss: 634.87759
2023-04-30 16:46:26,211 - INFO - Epoch 198, Loss: 633.89986
2023-04-30 16:46:27,055 - INFO - Epoch 199, Loss: 633.41946
2023-04-30 16:46:27,899 - INFO - Epoch 200, Loss: 632.52542
2023-04-30 16:46:30,748 - INFO - Epoch 200: [0.8s + 2.8s] Loss: 2.04040, Recall: 0.11079, Precision: 0.02404, Hit Ratio: 0.32376, NDCG: 0.14324
2023-04-30 16:46:31,700 - INFO - Epoch 201, Loss: 632.28295
2023-04-30 16:46:32,545 - INFO - Epoch 202, Loss: 631.57616
2023-04-30 16:46:33,391 - INFO - Epoch 203, Loss: 631.43672
2023-04-30 16:46:34,235 - INFO - Epoch 204, Loss: 630.67614
2023-04-30 16:46:35,081 - INFO - Epoch 205, Loss: 630.01439
2023-04-30 16:46:35,923 - INFO - Epoch 206, Loss: 629.25233
2023-04-30 16:46:36,769 - INFO - Epoch 207, Loss: 628.65693
2023-04-30 16:46:37,614 - INFO - Epoch 208, Loss: 628.06015
2023-04-30 16:46:38,458 - INFO - Epoch 209, Loss: 627.69014
2023-04-30 16:46:39,303 - INFO - Epoch 210, Loss: 627.05021
2023-04-30 16:46:40,145 - INFO - Epoch 211, Loss: 626.30687
2023-04-30 16:46:40,990 - INFO - Epoch 212, Loss: 625.96185
2023-04-30 16:46:41,833 - INFO - Epoch 213, Loss: 625.49969
2023-04-30 16:46:42,678 - INFO - Epoch 214, Loss: 624.76885
2023-04-30 16:46:43,521 - INFO - Epoch 215, Loss: 623.78534
2023-04-30 16:46:44,365 - INFO - Epoch 216, Loss: 623.52351
2023-04-30 16:46:45,213 - INFO - Epoch 217, Loss: 622.74139
2023-04-30 16:46:46,055 - INFO - Epoch 218, Loss: 622.39631
2023-04-30 16:46:46,901 - INFO - Epoch 219, Loss: 621.97054
2023-04-30 16:46:47,745 - INFO - Epoch 220, Loss: 621.20783
2023-04-30 16:46:48,588 - INFO - Epoch 221, Loss: 620.63019
2023-04-30 16:46:49,432 - INFO - Epoch 222, Loss: 619.71133
2023-04-30 16:46:50,277 - INFO - Epoch 223, Loss: 619.36948
2023-04-30 16:46:51,121 - INFO - Epoch 224, Loss: 618.66942
2023-04-30 16:46:51,963 - INFO - Epoch 225, Loss: 618.21921
2023-04-30 16:46:52,807 - INFO - Epoch 226, Loss: 617.60574
2023-04-30 16:46:53,656 - INFO - Epoch 227, Loss: 616.74059
2023-04-30 16:46:54,499 - INFO - Epoch 228, Loss: 615.83784
2023-04-30 16:46:55,343 - INFO - Epoch 229, Loss: 615.85136
2023-04-30 16:46:56,189 - INFO - Epoch 230, Loss: 614.50643
2023-04-30 16:46:57,033 - INFO - Epoch 231, Loss: 614.68138
2023-04-30 16:46:57,878 - INFO - Epoch 232, Loss: 613.53903
2023-04-30 16:46:58,721 - INFO - Epoch 233, Loss: 613.03604
2023-04-30 16:46:59,569 - INFO - Epoch 234, Loss: 612.50135
2023-04-30 16:47:00,414 - INFO - Epoch 235, Loss: 611.37651
2023-04-30 16:47:01,258 - INFO - Epoch 236, Loss: 610.56519
2023-04-30 16:47:02,104 - INFO - Epoch 237, Loss: 610.10201
2023-04-30 16:47:02,948 - INFO - Epoch 238, Loss: 609.11017
2023-04-30 16:47:03,792 - INFO - Epoch 239, Loss: 609.31119
2023-04-30 16:47:04,638 - INFO - Epoch 240, Loss: 608.21991
2023-04-30 16:47:05,481 - INFO - Epoch 241, Loss: 607.59523
2023-04-30 16:47:06,323 - INFO - Epoch 242, Loss: 606.80224
2023-04-30 16:47:07,167 - INFO - Epoch 243, Loss: 606.74524
2023-04-30 16:47:08,012 - INFO - Epoch 244, Loss: 605.88041
2023-04-30 16:47:08,858 - INFO - Epoch 245, Loss: 604.97862
2023-04-30 16:47:09,703 - INFO - Epoch 246, Loss: 604.45380
2023-04-30 16:47:10,548 - INFO - Epoch 247, Loss: 603.71757
2023-04-30 16:47:11,393 - INFO - Epoch 248, Loss: 602.96880
2023-04-30 16:47:12,237 - INFO - Epoch 249, Loss: 602.39421
2023-04-30 16:47:13,082 - INFO - Epoch 250, Loss: 601.59407
2023-04-30 16:47:13,925 - INFO - Epoch 251, Loss: 600.92010
2023-04-30 16:47:14,769 - INFO - Epoch 252, Loss: 600.51112
2023-04-30 16:47:15,612 - INFO - Epoch 253, Loss: 599.70591
2023-04-30 16:47:16,457 - INFO - Epoch 254, Loss: 598.58389
2023-04-30 16:47:17,301 - INFO - Epoch 255, Loss: 598.60508
2023-04-30 16:47:18,145 - INFO - Epoch 256, Loss: 597.76579
