2023-04-30 17:17:39,583 - INFO - Loaded Data/Office/train.csv with 3508 users and 2318 items.
2023-04-30 17:17:39,583 - INFO - Matrix size: (3509, 2319), total ratings: 31193
2023-04-30 17:17:40,027 - INFO - Loaded Data/Office/test.csv with 3508 users and 2334 items.
2023-04-30 17:17:40,027 - INFO - Matrix size: (3509, 2335), total ratings: 13396
2023-04-30 17:17:40,784 - INFO - Loaded dataset with 3509 users and 2319 items.
2023-04-30 17:17:40,784 - INFO - Training set contains 31193 ratings and test set contains 13396 ratings.
2023-04-30 17:18:54,420 - INFO - Epoch 64, Loss: 681.90408
2023-04-30 17:18:55,260 - INFO - Epoch 65, Loss: 681.74984
2023-04-30 17:18:56,103 - INFO - Epoch 66, Loss: 681.57762
2023-04-30 17:18:56,943 - INFO - Epoch 67, Loss: 681.36055
2023-04-30 17:18:57,786 - INFO - Epoch 68, Loss: 681.19449
2023-04-30 17:18:58,627 - INFO - Epoch 69, Loss: 680.99592
2023-04-30 17:18:59,469 - INFO - Epoch 70, Loss: 680.81536
2023-04-30 17:19:02,318 - INFO - Epoch 70: [0.8s + 2.8s] Loss: 2.19618, Recall: 0.05388, Precision: 0.01177, Hit Ratio: 0.18582, NDCG: 0.07822
2023-04-30 17:19:03,265 - INFO - Epoch 71, Loss: 680.69300
2023-04-30 17:19:04,112 - INFO - Epoch 72, Loss: 680.46862
2023-04-30 17:19:04,954 - INFO - Epoch 73, Loss: 680.24880
2023-04-30 17:19:05,795 - INFO - Epoch 74, Loss: 680.07164
2023-04-30 17:19:06,638 - INFO - Epoch 75, Loss: 679.90084
2023-04-30 17:19:07,492 - INFO - Epoch 76, Loss: 679.74398
2023-04-30 17:19:08,336 - INFO - Epoch 77, Loss: 679.55263
2023-04-30 17:19:09,180 - INFO - Epoch 78, Loss: 679.39069
2023-04-30 17:19:10,024 - INFO - Epoch 79, Loss: 679.16638
2023-04-30 17:19:10,866 - INFO - Epoch 80, Loss: 678.94802
2023-04-30 17:19:13,714 - INFO - Epoch 80: [0.8s + 2.8s] Loss: 2.19015, Recall: 0.06168, Precision: 0.01345, Hit Ratio: 0.21035, NDCG: 0.08887
2023-04-30 17:19:14,662 - INFO - Epoch 81, Loss: 678.75986
2023-04-30 17:19:15,506 - INFO - Epoch 82, Loss: 678.50115
2023-04-30 17:19:16,349 - INFO - Epoch 83, Loss: 678.28834
2023-04-30 17:19:17,192 - INFO - Epoch 84, Loss: 678.04922
2023-04-30 17:19:18,036 - INFO - Epoch 85, Loss: 677.88778
2023-04-30 17:19:18,883 - INFO - Epoch 86, Loss: 677.69877
2023-04-30 17:19:19,727 - INFO - Epoch 87, Loss: 677.48564
2023-04-30 17:19:20,573 - INFO - Epoch 88, Loss: 677.28023
2023-04-30 17:19:21,417 - INFO - Epoch 89, Loss: 677.00588
2023-04-30 17:19:22,262 - INFO - Epoch 90, Loss: 676.74575
2023-04-30 17:19:25,116 - INFO - Epoch 90: [0.8s + 2.9s] Loss: 2.18305, Recall: 0.06756, Precision: 0.01493, Hit Ratio: 0.22711, NDCG: 0.09683
2023-04-30 17:19:26,064 - INFO - Epoch 91, Loss: 676.54096
2023-04-30 17:19:26,907 - INFO - Epoch 92, Loss: 676.33253
2023-04-30 17:19:27,751 - INFO - Epoch 93, Loss: 676.13831
2023-04-30 17:19:28,595 - INFO - Epoch 94, Loss: 675.89844
2023-04-30 17:19:29,439 - INFO - Epoch 95, Loss: 675.61325
2023-04-30 17:19:30,278 - INFO - Epoch 96, Loss: 675.36570
2023-04-30 17:19:31,124 - INFO - Epoch 97, Loss: 675.15761
2023-04-30 17:19:31,971 - INFO - Epoch 98, Loss: 674.92951
2023-04-30 17:19:32,813 - INFO - Epoch 99, Loss: 674.65481
2023-04-30 17:19:33,656 - INFO - Epoch 100, Loss: 674.47213
2023-04-30 17:19:36,500 - INFO - Epoch 100: [0.8s + 2.8s] Loss: 2.17572, Recall: 0.07356, Precision: 0.01635, Hit Ratio: 0.24327, NDCG: 0.10527
2023-04-30 17:19:37,448 - INFO - Epoch 101, Loss: 674.26714
2023-04-30 17:19:38,290 - INFO - Epoch 102, Loss: 673.91050
2023-04-30 17:19:39,134 - INFO - Epoch 103, Loss: 673.66352
2023-04-30 17:19:39,977 - INFO - Epoch 104, Loss: 673.40164
2023-04-30 17:19:40,821 - INFO - Epoch 105, Loss: 673.11263
2023-04-30 17:19:41,664 - INFO - Epoch 106, Loss: 672.78426
2023-04-30 17:19:42,508 - INFO - Epoch 107, Loss: 672.50792
2023-04-30 17:19:43,348 - INFO - Epoch 108, Loss: 672.26735
2023-04-30 17:19:44,192 - INFO - Epoch 109, Loss: 671.93185
2023-04-30 17:19:45,036 - INFO - Epoch 110, Loss: 671.73726
2023-04-30 17:19:47,923 - INFO - Epoch 110: [0.8s + 2.9s] Loss: 2.16689, Recall: 0.07916, Precision: 0.01755, Hit Ratio: 0.25344, NDCG: 0.11033
2023-04-30 17:19:48,866 - INFO - Epoch 111, Loss: 671.47409
2023-04-30 17:19:49,709 - INFO - Epoch 112, Loss: 671.15143
2023-04-30 17:19:50,553 - INFO - Epoch 113, Loss: 670.87059
2023-04-30 17:19:51,393 - INFO - Epoch 114, Loss: 670.65324
2023-04-30 17:19:52,236 - INFO - Epoch 115, Loss: 670.26689
2023-04-30 17:19:53,081 - INFO - Epoch 116, Loss: 669.99347
2023-04-30 17:19:53,924 - INFO - Epoch 117, Loss: 669.73831
2023-04-30 17:19:54,770 - INFO - Epoch 118, Loss: 669.45501
2023-04-30 17:19:55,614 - INFO - Epoch 119, Loss: 669.06553
2023-04-30 17:19:56,457 - INFO - Epoch 120, Loss: 668.83184
