2023-04-30 17:46:10,437 - INFO - Loaded Data/Office/train.csv with 3508 users and 2318 items.
2023-04-30 17:46:10,437 - INFO - Matrix size: (3509, 2319), total ratings: 31193
2023-04-30 17:46:10,874 - INFO - Loaded Data/Office/test.csv with 3508 users and 2334 items.
2023-04-30 17:46:10,874 - INFO - Matrix size: (3509, 2335), total ratings: 13396
2023-04-30 17:46:11,614 - INFO - Loaded dataset with 3509 users and 2319 items.
2023-04-30 17:46:11,614 - INFO - Training set contains 31193 ratings and test set contains 13396 ratings.
2023-04-30 17:46:13,826 - INFO - Epoch 1, Loss: 694.22928
2023-04-30 17:46:14,774 - INFO - Epoch 2, Loss: 693.25561
2023-04-30 17:46:15,616 - INFO - Epoch 3, Loss: 692.58068
2023-04-30 17:46:16,463 - INFO - Epoch 4, Loss: 692.17147
2023-04-30 17:46:17,311 - INFO - Epoch 5, Loss: 691.84970
2023-04-30 17:46:18,157 - INFO - Epoch 6, Loss: 691.57402
2023-04-30 17:46:19,012 - INFO - Epoch 7, Loss: 691.32180
2023-04-30 17:46:19,906 - INFO - Epoch 8, Loss: 691.04501
2023-04-30 17:46:20,791 - INFO - Epoch 9, Loss: 690.88689
2023-04-30 17:46:21,725 - INFO - Epoch 10, Loss: 690.70626
2023-04-30 17:46:22,586 - INFO - Epoch 11, Loss: 690.49583
2023-04-30 17:46:23,447 - INFO - Epoch 12, Loss: 690.32039
2023-04-30 17:46:24,347 - INFO - Epoch 13, Loss: 690.13944
2023-04-30 17:46:25,225 - INFO - Epoch 14, Loss: 689.93587
2023-04-30 17:46:26,088 - INFO - Epoch 15, Loss: 689.75416
2023-04-30 17:46:26,950 - INFO - Epoch 16, Loss: 689.54857
2023-04-30 17:46:27,821 - INFO - Epoch 17, Loss: 689.42994
2023-04-30 17:46:28,687 - INFO - Epoch 18, Loss: 689.23057
2023-04-30 17:46:29,540 - INFO - Epoch 19, Loss: 689.08158
2023-04-30 17:46:30,405 - INFO - Epoch 20, Loss: 688.90418
2023-04-30 17:46:33,275 - INFO - Epoch 20: [0.9s + 2.9s] Loss: 2.22227, Recall: 0.01688, Precision: 0.00334, Hit Ratio: 0.06194, NDCG: 0.02211
2023-04-30 17:46:34,242 - INFO - Epoch 21, Loss: 688.72254
2023-04-30 17:46:35,176 - INFO - Epoch 22, Loss: 688.54650
2023-04-30 17:46:36,021 - INFO - Epoch 23, Loss: 688.36785
2023-04-30 17:46:36,862 - INFO - Epoch 24, Loss: 688.20319
2023-04-30 17:46:37,705 - INFO - Epoch 25, Loss: 688.04981
2023-04-30 17:46:38,546 - INFO - Epoch 26, Loss: 687.88903
2023-04-30 17:46:39,386 - INFO - Epoch 27, Loss: 687.76089
2023-04-30 17:46:40,225 - INFO - Epoch 28, Loss: 687.57016
2023-04-30 17:46:41,066 - INFO - Epoch 29, Loss: 687.38484
2023-04-30 17:46:41,909 - INFO - Epoch 30, Loss: 687.27345
2023-04-30 17:46:42,752 - INFO - Epoch 31, Loss: 687.12928
2023-04-30 17:46:43,606 - INFO - Epoch 32, Loss: 686.96201
2023-04-30 17:46:44,453 - INFO - Epoch 33, Loss: 686.78227
2023-04-30 17:46:45,291 - INFO - Epoch 34, Loss: 686.65602
2023-04-30 17:46:46,136 - INFO - Epoch 35, Loss: 686.51073
2023-04-30 17:46:46,989 - INFO - Epoch 36, Loss: 686.32291
2023-04-30 17:46:47,838 - INFO - Epoch 37, Loss: 686.15864
2023-04-30 17:46:48,697 - INFO - Epoch 38, Loss: 686.00912
2023-04-30 17:46:49,542 - INFO - Epoch 39, Loss: 685.84975
2023-04-30 17:46:50,420 - INFO - Epoch 40, Loss: 685.68927
2023-04-30 17:46:53,336 - INFO - Epoch 40: [0.9s + 2.9s] Loss: 2.21190, Recall: 0.03129, Precision: 0.00658, Hit Ratio: 0.11041, NDCG: 0.04220
2023-04-30 17:46:54,290 - INFO - Epoch 41, Loss: 685.55348
2023-04-30 17:46:55,132 - INFO - Epoch 42, Loss: 685.35364
2023-04-30 17:46:55,975 - INFO - Epoch 43, Loss: 685.23158
2023-04-30 17:46:56,827 - INFO - Epoch 44, Loss: 685.07126
2023-04-30 17:46:57,697 - INFO - Epoch 45, Loss: 684.92372
2023-04-30 17:46:58,549 - INFO - Epoch 46, Loss: 684.78265
2023-04-30 17:46:59,417 - INFO - Epoch 47, Loss: 684.64731
2023-04-30 17:47:00,272 - INFO - Epoch 48, Loss: 684.51996
2023-04-30 17:47:01,121 - INFO - Epoch 49, Loss: 684.33486
2023-04-30 17:47:01,992 - INFO - Epoch 50, Loss: 684.12163
2023-04-30 17:47:02,837 - INFO - Epoch 51, Loss: 683.99976
2023-04-30 17:47:03,680 - INFO - Epoch 52, Loss: 683.81685
2023-04-30 17:47:04,523 - INFO - Epoch 53, Loss: 683.64525
2023-04-30 17:47:05,371 - INFO - Epoch 54, Loss: 683.46915
2023-04-30 17:47:06,216 - INFO - Epoch 55, Loss: 683.33503
2023-04-30 17:47:07,058 - INFO - Epoch 56, Loss: 683.18978
2023-04-30 17:47:07,988 - INFO - Epoch 57, Loss: 683.03073
2023-04-30 17:47:08,841 - INFO - Epoch 58, Loss: 682.86104
2023-04-30 17:47:09,696 - INFO - Epoch 59, Loss: 682.68278
2023-04-30 17:47:10,544 - INFO - Epoch 60, Loss: 682.46106
2023-04-30 17:47:13,449 - INFO - Epoch 60: [0.8s + 2.9s] Loss: 2.20149, Recall: 0.04912, Precision: 0.01046, Hit Ratio: 0.16577, NDCG: 0.06927
2023-04-30 17:47:14,378 - INFO - Epoch 61, Loss: 682.30091
2023-04-30 17:47:15,220 - INFO - Epoch 62, Loss: 682.17584
2023-04-30 17:47:16,061 - INFO - Epoch 63, Loss: 681.93103
2023-04-30 17:47:16,903 - INFO - Epoch 64, Loss: 681.80427
2023-04-30 17:47:17,745 - INFO - Epoch 65, Loss: 681.62199
2023-04-30 17:47:18,587 - INFO - Epoch 66, Loss: 681.43474
2023-04-30 17:47:19,427 - INFO - Epoch 67, Loss: 681.22875
2023-04-30 17:47:20,268 - INFO - Epoch 68, Loss: 681.03924
2023-04-30 17:47:21,110 - INFO - Epoch 69, Loss: 680.88505
2023-04-30 17:47:21,953 - INFO - Epoch 70, Loss: 680.65784
2023-04-30 17:47:22,793 - INFO - Epoch 71, Loss: 680.52681
2023-04-30 17:47:23,634 - INFO - Epoch 72, Loss: 680.33846
2023-04-30 17:47:24,475 - INFO - Epoch 73, Loss: 680.13362
2023-04-30 17:47:25,315 - INFO - Epoch 74, Loss: 679.92500
2023-04-30 17:47:26,154 - INFO - Epoch 75, Loss: 679.75121
2023-04-30 17:47:26,996 - INFO - Epoch 76, Loss: 679.53631
2023-04-30 17:47:27,835 - INFO - Epoch 77, Loss: 679.36433
