2023-04-30 16:21:44,920 - INFO - Loaded Data/Office/train.csv with 3508 users and 2318 items.
2023-04-30 16:21:44,921 - INFO - Matrix size: (3509, 2319), total ratings: 31193
2023-04-30 16:21:45,354 - INFO - Loaded Data/Office/test.csv with 3508 users and 2334 items.
2023-04-30 16:21:45,354 - INFO - Matrix size: (3509, 2335), total ratings: 13396
2023-04-30 16:21:46,085 - INFO - Loaded dataset with 3509 users and 2319 items.
2023-04-30 16:21:46,085 - INFO - Training set contains 31193 ratings and test set contains 13396 ratings.
2023-04-30 16:21:48,284 - INFO - Epoch 1, Loss: 693.88606
2023-04-30 16:21:49,129 - INFO - Epoch 2, Loss: 693.08380
2023-04-30 16:21:49,975 - INFO - Epoch 3, Loss: 692.51251
2023-04-30 16:21:50,816 - INFO - Epoch 4, Loss: 692.05245
2023-04-30 16:21:51,665 - INFO - Epoch 5, Loss: 691.75683
2023-04-30 16:21:52,510 - INFO - Epoch 6, Loss: 691.44958
2023-04-30 16:21:53,351 - INFO - Epoch 7, Loss: 691.22329
2023-04-30 16:21:54,201 - INFO - Epoch 8, Loss: 690.94805
2023-04-30 16:21:55,049 - INFO - Epoch 9, Loss: 690.76894
2023-04-30 16:21:55,891 - INFO - Epoch 10, Loss: 690.54314
2023-04-30 16:21:56,734 - INFO - Epoch 11, Loss: 690.38506
2023-04-30 16:21:57,579 - INFO - Epoch 12, Loss: 690.18904
2023-04-30 16:21:58,449 - INFO - Epoch 13, Loss: 689.97453
2023-04-30 16:21:59,317 - INFO - Epoch 14, Loss: 689.78427
2023-04-30 16:22:00,168 - INFO - Epoch 15, Loss: 689.61400
2023-04-30 16:22:01,034 - INFO - Epoch 16, Loss: 689.43679
2023-04-30 16:22:01,878 - INFO - Epoch 17, Loss: 689.21488
2023-04-30 16:22:02,720 - INFO - Epoch 18, Loss: 689.08453
2023-04-30 16:22:03,562 - INFO - Epoch 19, Loss: 688.87798
2023-04-30 16:22:04,401 - INFO - Epoch 20, Loss: 688.73257
2023-04-30 16:22:05,245 - INFO - Epoch 21, Loss: 688.57929
2023-04-30 16:22:06,087 - INFO - Epoch 22, Loss: 688.41179
